n:1 mse_avg:0.24 mse_y:0.29 mse_u:0.12 mse_v:0.14 psnr_avg:54.42 psnr_y:53.55 psnr_u:57.41 psnr_v:56.52 
n:2 mse_avg:0.37 mse_y:0.48 mse_u:0.13 mse_v:0.18 psnr_avg:52.42 psnr_y:51.31 psnr_u:56.97 psnr_v:55.56 
n:3 mse_avg:0.40 mse_y:0.52 mse_u:0.14 mse_v:0.19 psnr_avg:52.08 psnr_y:50.95 psnr_u:56.78 psnr_v:55.44 
n:4 mse_avg:0.42 mse_y:0.54 mse_u:0.14 mse_v:0.19 psnr_avg:51.93 psnr_y:50.78 psnr_u:56.73 psnr_v:55.34 
n:5 mse_avg:0.44 mse_y:0.58 mse_u:0.14 mse_v:0.20 psnr_avg:51.68 psnr_y:50.51 psnr_u:56.64 psnr_v:55.14 
n:6 mse_avg:0.44 mse_y:0.58 mse_u:0.14 mse_v:0.20 psnr_avg:51.65 psnr_y:50.48 psnr_u:56.67 psnr_v:55.09 
n:7 mse_avg:0.46 mse_y:0.60 mse_u:0.15 mse_v:0.18 psnr_avg:51.53 psnr_y:50.34 psnr_u:56.23 psnr_v:55.46 
n:8 mse_avg:0.46 mse_y:0.61 mse_u:0.15 mse_v:0.18 psnr_avg:51.49 psnr_y:50.28 psnr_u:56.41 psnr_v:55.64 
n:9 mse_avg:0.46 mse_y:0.61 mse_u:0.15 mse_v:0.18 psnr_avg:51.48 psnr_y:50.25 psnr_u:56.47 psnr_v:55.70 
n:10 mse_avg:0.47 mse_y:0.62 mse_u:0.15 mse_v:0.18 psnr_avg:51.44 psnr_y:50.21 psnr_u:56.45 psnr_v:55.69 
n:11 mse_avg:0.47 mse_y:0.62 mse_u:0.15 mse_v:0.17 psnr_avg:51.42 psnr_y:50.18 psnr_u:56.51 psnr_v:55.74 
n:12 mse_avg:0.48 mse_y:0.63 mse_u:0.15 mse_v:0.18 psnr_avg:51.36 psnr_y:50.13 psnr_u:56.26 psnr_v:55.62 
n:13 mse_avg:0.48 mse_y:0.63 mse_u:0.15 mse_v:0.18 psnr_avg:51.34 psnr_y:50.11 psnr_u:56.29 psnr_v:55.57 
n:14 mse_avg:0.49 mse_y:0.64 mse_u:0.15 mse_v:0.18 psnr_avg:51.27 psnr_y:50.04 psnr_u:56.25 psnr_v:55.52 
n:15 mse_avg:0.50 mse_y:0.67 mse_u:0.15 mse_v:0.20 psnr_avg:51.12 psnr_y:49.90 psnr_u:56.24 psnr_v:55.10 
n:16 mse_avg:0.50 mse_y:0.65 mse_u:0.16 mse_v:0.20 psnr_avg:51.18 psnr_y:49.99 psnr_u:56.13 psnr_v:55.05 
n:17 mse_avg:0.50 mse_y:0.65 mse_u:0.16 mse_v:0.20 psnr_avg:51.18 psnr_y:49.98 psnr_u:56.15 psnr_v:55.05 
n:18 mse_avg:0.50 mse_y:0.65 mse_u:0.16 mse_v:0.20 psnr_avg:51.17 psnr_y:49.97 psnr_u:56.13 psnr_v:55.02 
n:19 mse_avg:0.52 mse_y:0.68 mse_u:0.16 mse_v:0.22 psnr_avg:50.99 psnr_y:49.80 psnr_u:56.04 psnr_v:54.77 
