n:1 mse_avg:0.19 mse_y:0.20 mse_u:0.15 mse_v:0.18 psnr_avg:55.43 psnr_y:55.20 psnr_u:56.32 psnr_v:55.53 
n:2 mse_avg:0.25 mse_y:0.28 mse_u:0.18 mse_v:0.21 psnr_avg:54.14 psnr_y:53.71 psnr_u:55.46 psnr_v:54.85 
n:3 mse_avg:0.27 mse_y:0.30 mse_u:0.20 mse_v:0.22 psnr_avg:53.80 psnr_y:53.34 psnr_u:55.17 psnr_v:54.65 
n:4 mse_avg:0.28 mse_y:0.31 mse_u:0.21 mse_v:0.23 psnr_avg:53.66 psnr_y:53.20 psnr_u:55.01 psnr_v:54.52 
n:5 mse_avg:0.29 mse_y:0.33 mse_u:0.22 mse_v:0.24 psnr_avg:53.45 psnr_y:53.00 psnr_u:54.79 psnr_v:54.31 
n:6 mse_avg:0.30 mse_y:0.33 mse_u:0.22 mse_v:0.24 psnr_avg:53.43 psnr_y:52.97 psnr_u:54.77 psnr_v:54.31 
n:7 mse_avg:0.30 mse_y:0.34 mse_u:0.22 mse_v:0.24 psnr_avg:53.33 psnr_y:52.86 psnr_u:54.70 psnr_v:54.28 
n:8 mse_avg:0.30 mse_y:0.33 mse_u:0.22 mse_v:0.24 psnr_avg:53.40 psnr_y:52.94 psnr_u:54.72 psnr_v:54.30 
n:9 mse_avg:0.30 mse_y:0.33 mse_u:0.22 mse_v:0.25 psnr_avg:53.34 psnr_y:52.89 psnr_u:54.64 psnr_v:54.22 
n:10 mse_avg:0.30 mse_y:0.33 mse_u:0.23 mse_v:0.25 psnr_avg:53.33 psnr_y:52.89 psnr_u:54.58 psnr_v:54.18 
n:11 mse_avg:0.31 mse_y:0.34 mse_u:0.23 mse_v:0.25 psnr_avg:53.25 psnr_y:52.81 psnr_u:54.50 psnr_v:54.09 
n:12 mse_avg:0.31 mse_y:0.34 mse_u:0.23 mse_v:0.25 psnr_avg:53.22 psnr_y:52.77 psnr_u:54.49 psnr_v:54.10 
n:13 mse_avg:0.31 mse_y:0.34 mse_u:0.23 mse_v:0.25 psnr_avg:53.23 psnr_y:52.79 psnr_u:54.46 psnr_v:54.07 
n:14 mse_avg:0.31 mse_y:0.34 mse_u:0.23 mse_v:0.25 psnr_avg:53.28 psnr_y:52.83 psnr_u:54.49 psnr_v:54.17 
n:15 mse_avg:0.32 mse_y:0.35 mse_u:0.24 mse_v:0.26 psnr_avg:53.08 psnr_y:52.66 psnr_u:54.26 psnr_v:53.91 
n:16 mse_avg:0.32 mse_y:0.36 mse_u:0.25 mse_v:0.27 psnr_avg:53.04 psnr_y:52.62 psnr_u:54.22 psnr_v:53.85 
n:17 mse_avg:0.33 mse_y:0.36 mse_u:0.25 mse_v:0.28 psnr_avg:52.97 psnr_y:52.57 psnr_u:54.09 psnr_v:53.69 
n:18 mse_avg:0.33 mse_y:0.37 mse_u:0.26 mse_v:0.28 psnr_avg:52.90 psnr_y:52.49 psnr_u:54.06 psnr_v:53.66 
n:19 mse_avg:0.34 mse_y:0.37 mse_u:0.26 mse_v:0.28 psnr_avg:52.86 psnr_y:52.44 psnr_u:54.04 psnr_v:53.63 
n:20 mse_avg:0.34 mse_y:0.38 mse_u:0.26 mse_v:0.29 psnr_avg:52.75 psnr_y:52.33 psnr_u:53.96 psnr_v:53.54 
n:21 mse_avg:0.35 mse_y:0.38 mse_u:0.26 mse_v:0.29 psnr_avg:52.75 psnr_y:52.33 psnr_u:53.94 psnr_v:53.54 
n:22 mse_avg:0.35 mse_y:0.39 mse_u:0.27 mse_v:0.29 psnr_avg:52.65 psnr_y:52.21 psnr_u:53.89 psnr_v:53.51 
