n:1 mse_avg:0.37 mse_y:0.45 mse_u:0.20 mse_v:0.20 psnr_avg:52.49 psnr_y:51.61 psnr_u:55.05 psnr_v:55.08 
n:2 mse_avg:0.56 mse_y:0.73 mse_u:0.23 mse_v:0.23 psnr_avg:50.61 psnr_y:49.49 psnr_u:54.47 psnr_v:54.47 
n:3 mse_avg:0.62 mse_y:0.81 mse_u:0.24 mse_v:0.24 psnr_avg:50.19 psnr_y:49.04 psnr_u:54.29 psnr_v:54.24 
n:4 mse_avg:0.63 mse_y:0.81 mse_u:0.25 mse_v:0.25 psnr_avg:50.17 psnr_y:49.02 psnr_u:54.16 psnr_v:54.23 
n:5 mse_avg:0.64 mse_y:0.83 mse_u:0.25 mse_v:0.25 psnr_avg:50.08 psnr_y:48.92 psnr_u:54.12 psnr_v:54.20 
n:6 mse_avg:0.67 mse_y:0.88 mse_u:0.27 mse_v:0.26 psnr_avg:49.85 psnr_y:48.70 psnr_u:53.87 psnr_v:53.93 
n:7 mse_avg:0.71 mse_y:0.92 mse_u:0.27 mse_v:0.27 psnr_avg:49.64 psnr_y:48.48 psnr_u:53.77 psnr_v:53.75 
n:8 mse_avg:0.68 mse_y:0.89 mse_u:0.28 mse_v:0.27 psnr_avg:49.79 psnr_y:48.65 psnr_u:53.73 psnr_v:53.80 
n:9 mse_avg:0.69 mse_y:0.89 mse_u:0.28 mse_v:0.27 psnr_avg:49.77 psnr_y:48.63 psnr_u:53.71 psnr_v:53.80 
n:10 mse_avg:0.71 mse_y:0.92 mse_u:0.29 mse_v:0.29 psnr_avg:49.64 psnr_y:48.51 psnr_u:53.53 psnr_v:53.55 
n:11 mse_avg:0.74 mse_y:0.96 mse_u:0.30 mse_v:0.30 psnr_avg:49.45 psnr_y:48.32 psnr_u:53.42 psnr_v:53.36 
n:12 mse_avg:0.72 mse_y:0.93 mse_u:0.30 mse_v:0.29 psnr_avg:49.57 psnr_y:48.44 psnr_u:53.43 psnr_v:53.50 
n:13 mse_avg:0.71 mse_y:0.92 mse_u:0.29 mse_v:0.29 psnr_avg:49.61 psnr_y:48.48 psnr_u:53.48 psnr_v:53.54 
n:14 mse_avg:0.74 mse_y:0.95 mse_u:0.30 mse_v:0.30 psnr_avg:49.46 psnr_y:48.33 psnr_u:53.35 psnr_v:53.43 
n:15 mse_avg:0.75 mse_y:0.97 mse_u:0.30 mse_v:0.30 psnr_avg:49.39 psnr_y:48.25 psnr_u:53.36 psnr_v:53.43 
n:16 mse_avg:0.74 mse_y:0.95 mse_u:0.32 mse_v:0.32 psnr_avg:49.43 psnr_y:48.34 psnr_u:53.09 psnr_v:53.14 
n:17 mse_avg:0.75 mse_y:0.97 mse_u:0.32 mse_v:0.32 psnr_avg:49.37 psnr_y:48.27 psnr_u:53.04 psnr_v:53.11 
n:18 mse_avg:0.78 mse_y:1.00 mse_u:0.34 mse_v:0.33 psnr_avg:49.23 psnr_y:48.14 psnr_u:52.85 psnr_v:52.90 
n:19 mse_avg:0.80 mse_y:1.02 mse_u:0.34 mse_v:0.34 psnr_avg:49.13 psnr_y:48.03 psnr_u:52.84 psnr_v:52.84 
n:20 mse_avg:0.77 mse_y:0.98 mse_u:0.34 mse_v:0.34 psnr_avg:49.28 psnr_y:48.21 psnr_u:52.80 psnr_v:52.87 
n:21 mse_avg:0.79 mse_y:1.01 mse_u:0.35 mse_v:0.34 psnr_avg:49.18 psnr_y:48.10 psnr_u:52.74 psnr_v:52.80 
n:22 mse_avg:0.81 mse_y:1.04 mse_u:0.36 mse_v:0.36 psnr_avg:49.03 psnr_y:47.96 psnr_u:52.54 psnr_v:52.61 
n:23 mse_avg:0.84 mse_y:1.08 mse_u:0.36 mse_v:0.37 psnr_avg:48.88 psnr_y:47.79 psnr_u:52.53 psnr_v:52.51 
n:24 mse_avg:0.78 mse_y:1.00 mse_u:0.35 mse_v:0.35 psnr_avg:49.19 psnr_y:48.13 psnr_u:52.63 psnr_v:52.75 
n:25 mse_avg:0.77 mse_y:0.99 mse_u:0.35 mse_v:0.34 psnr_avg:49.24 psnr_y:48.17 psnr_u:52.72 psnr_v:52.79 
n:26 mse_avg:0.79 mse_y:1.01 mse_u:0.36 mse_v:0.35 psnr_avg:49.15 psnr_y:48.09 psnr_u:52.61 psnr_v:52.69 
n:27 mse_avg:0.81 mse_y:1.03 mse_u:0.36 mse_v:0.36 psnr_avg:49.05 psnr_y:47.99 psnr_u:52.60 psnr_v:52.58 
n:28 mse_avg:0.77 mse_y:0.98 mse_u:0.35 mse_v:0.34 psnr_avg:49.26 psnr_y:48.21 psnr_u:52.70 psnr_v:52.78 
n:29 mse_avg:0.77 mse_y:0.98 mse_u:0.35 mse_v:0.34 psnr_avg:49.26 psnr_y:48.20 psnr_u:52.75 psnr_v:52.81 
n:30 mse_avg:0.79 mse_y:1.01 mse_u:0.35 mse_v:0.35 psnr_avg:49.14 psnr_y:48.07 psnr_u:52.65 psnr_v:52.71 
n:31 mse_avg:0.80 mse_y:1.03 mse_u:0.35 mse_v:0.35 psnr_avg:49.09 psnr_y:48.01 psnr_u:52.73 psnr_v:52.74 
n:32 mse_avg:0.81 mse_y:1.02 mse_u:0.39 mse_v:0.39 psnr_avg:49.04 psnr_y:48.03 psnr_u:52.24 psnr_v:52.24 
n:33 mse_avg:0.81 mse_y:1.02 mse_u:0.38 mse_v:0.38 psnr_avg:49.07 psnr_y:48.05 psnr_u:52.32 psnr_v:52.35 
n:34 mse_avg:0.80 mse_y:1.01 mse_u:0.38 mse_v:0.38 psnr_avg:49.09 psnr_y:48.08 psnr_u:52.29 psnr_v:52.32 
n:35 mse_avg:0.81 mse_y:1.03 mse_u:0.38 mse_v:0.38 psnr_avg:49.03 psnr_y:48.01 psnr_u:52.30 psnr_v:52.31 
n:36 mse_avg:0.81 mse_y:1.02 mse_u:0.39 mse_v:0.39 psnr_avg:49.06 psnr_y:48.06 psnr_u:52.24 psnr_v:52.23 
n:37 mse_avg:0.82 mse_y:1.03 mse_u:0.39 mse_v:0.39 psnr_avg:49.01 psnr_y:48.00 psnr_u:52.25 psnr_v:52.22 
n:38 mse_avg:0.82 mse_y:1.03 mse_u:0.39 mse_v:0.39 psnr_avg:49.00 psnr_y:47.99 psnr_u:52.20 psnr_v:52.19 
n:39 mse_avg:0.85 mse_y:1.07 mse_u:0.39 mse_v:0.40 psnr_avg:48.85 psnr_y:47.82 psnr_u:52.19 psnr_v:52.16 
n:40 mse_avg:0.82 mse_y:1.04 mse_u:0.39 mse_v:0.40 psnr_avg:48.97 psnr_y:47.97 psnr_u:52.16 psnr_v:52.11 
n:41 mse_avg:0.83 mse_y:1.04 mse_u:0.39 mse_v:0.40 psnr_avg:48.96 psnr_y:47.96 psnr_u:52.20 psnr_v:52.12 
n:42 mse_avg:0.82 mse_y:1.04 mse_u:0.39 mse_v:0.40 psnr_avg:48.97 psnr_y:47.97 psnr_u:52.17 psnr_v:52.11 
n:43 mse_avg:0.84 mse_y:1.06 mse_u:0.39 mse_v:0.40 psnr_avg:48.91 psnr_y:47.89 psnr_u:52.18 psnr_v:52.11 
n:44 mse_avg:0.84 mse_y:1.06 mse_u:0.40 mse_v:0.41 psnr_avg:48.87 psnr_y:47.87 psnr_u:52.06 psnr_v:52.02 
n:45 mse_avg:0.84 mse_y:1.05 mse_u:0.40 mse_v:0.41 psnr_avg:48.91 psnr_y:47.90 psnr_u:52.13 psnr_v:52.05 
n:46 mse_avg:0.83 mse_y:1.05 mse_u:0.40 mse_v:0.40 psnr_avg:48.92 psnr_y:47.92 psnr_u:52.11 psnr_v:52.07 
n:47 mse_avg:0.86 mse_y:1.09 mse_u:0.40 mse_v:0.40 psnr_avg:48.79 psnr_y:47.77 psnr_u:52.13 psnr_v:52.07 
n:48 mse_avg:0.81 mse_y:1.02 mse_u:0.40 mse_v:0.40 psnr_avg:49.03 psnr_y:48.04 psnr_u:52.16 psnr_v:52.09 
n:49 mse_avg:0.81 mse_y:1.01 mse_u:0.39 mse_v:0.40 psnr_avg:49.06 psnr_y:48.07 psnr_u:52.21 psnr_v:52.13 
n:50 mse_avg:0.79 mse_y:1.00 mse_u:0.39 mse_v:0.39 psnr_avg:49.13 psnr_y:48.14 psnr_u:52.24 psnr_v:52.19 
n:51 mse_avg:0.37 mse_y:0.45 mse_u:0.21 mse_v:0.22 psnr_avg:52.42 psnr_y:51.57 psnr_u:54.96 psnr_v:54.80 
n:52 mse_avg:0.56 mse_y:0.72 mse_u:0.23 mse_v:0.25 psnr_avg:50.67 psnr_y:49.59 psnr_u:54.45 psnr_v:54.23 
n:53 mse_avg:0.59 mse_y:0.77 mse_u:0.24 mse_v:0.25 psnr_avg:50.40 psnr_y:49.28 psnr_u:54.38 psnr_v:54.16 
n:54 mse_avg:0.64 mse_y:0.83 mse_u:0.25 mse_v:0.26 psnr_avg:50.07 psnr_y:48.93 psnr_u:54.09 psnr_v:53.93 
n:55 mse_avg:0.68 mse_y:0.88 mse_u:0.26 mse_v:0.27 psnr_avg:49.84 psnr_y:48.68 psnr_u:53.98 psnr_v:53.80 
n:56 mse_avg:0.66 mse_y:0.86 mse_u:0.27 mse_v:0.28 psnr_avg:49.90 psnr_y:48.78 psnr_u:53.84 psnr_v:53.71 
n:57 mse_avg:0.67 mse_y:0.87 mse_u:0.27 mse_v:0.28 psnr_avg:49.85 psnr_y:48.73 psnr_u:53.79 psnr_v:53.67 
n:58 mse_avg:0.68 mse_y:0.88 mse_u:0.28 mse_v:0.28 psnr_avg:49.81 psnr_y:48.70 psnr_u:53.69 psnr_v:53.59 
n:59 mse_avg:0.69 mse_y:0.89 mse_u:0.28 mse_v:0.29 psnr_avg:49.77 psnr_y:48.64 psnr_u:53.68 psnr_v:53.57 
n:60 mse_avg:0.70 mse_y:0.90 mse_u:0.29 mse_v:0.30 psnr_avg:49.69 psnr_y:48.59 psnr_u:53.49 psnr_v:53.39 
n:61 mse_avg:0.73 mse_y:0.94 mse_u:0.30 mse_v:0.31 psnr_avg:49.50 psnr_y:48.40 psnr_u:53.31 psnr_v:53.16 
n:62 mse_avg:0.73 mse_y:0.94 mse_u:0.30 mse_v:0.31 psnr_avg:49.50 psnr_y:48.40 psnr_u:53.29 psnr_v:53.22 
n:63 mse_avg:0.74 mse_y:0.96 mse_u:0.30 mse_v:0.31 psnr_avg:49.43 psnr_y:48.30 psnr_u:53.32 psnr_v:53.27 
