n:1 mse_avg:17.38 mse_y:24.66 mse_u:3.21 mse_v:2.44 psnr_avg:35.73 psnr_y:34.21 psnr_u:43.07 psnr_v:44.25 
n:2 mse_avg:39.84 mse_y:58.25 mse_u:3.43 mse_v:2.62 psnr_avg:32.13 psnr_y:30.48 psnr_u:42.78 psnr_v:43.95 
n:3 mse_avg:41.87 mse_y:61.34 mse_u:3.30 mse_v:2.55 psnr_avg:31.91 psnr_y:30.25 psnr_u:42.95 psnr_v:44.07 
n:4 mse_avg:59.95 mse_y:88.25 mse_u:3.73 mse_v:2.98 psnr_avg:30.35 psnr_y:28.67 psnr_u:42.41 psnr_v:43.39 
n:5 mse_avg:58.28 mse_y:85.75 mse_u:3.69 mse_v:2.95 psnr_avg:30.48 psnr_y:28.80 psnr_u:42.46 psnr_v:43.43 
n:6 mse_avg:72.46 mse_y:106.77 mse_u:4.23 mse_v:3.49 psnr_avg:29.53 psnr_y:27.85 psnr_u:41.86 psnr_v:42.70 
n:7 mse_avg:70.74 mse_y:104.16 mse_u:4.24 mse_v:3.53 psnr_avg:29.63 psnr_y:27.95 psnr_u:41.85 psnr_v:42.65 
n:8 mse_avg:80.98 mse_y:119.24 mse_u:4.84 mse_v:4.06 psnr_avg:29.05 psnr_y:27.37 psnr_u:41.29 psnr_v:42.04 
n:9 mse_avg:80.32 mse_y:118.26 mse_u:4.81 mse_v:4.04 psnr_avg:29.08 psnr_y:27.40 psnr_u:41.31 psnr_v:42.07 
n:10 mse_avg:87.85 mse_y:129.27 mse_u:5.42 mse_v:4.61 psnr_avg:28.69 psnr_y:27.02 psnr_u:40.79 psnr_v:41.49 
n:11 mse_avg:86.47 mse_y:127.20 mse_u:5.46 mse_v:4.60 psnr_avg:28.76 psnr_y:27.09 psnr_u:40.76 psnr_v:41.50 
n:12 mse_avg:93.71 mse_y:137.79 mse_u:5.96 mse_v:5.13 psnr_avg:28.41 psnr_y:26.74 psnr_u:40.37 psnr_v:41.03 
n:13 mse_avg:93.17 mse_y:136.97 mse_u:5.99 mse_v:5.19 psnr_avg:28.44 psnr_y:26.76 psnr_u:40.35 psnr_v:40.98 
n:14 mse_avg:98.85 mse_y:145.21 mse_u:6.54 mse_v:5.72 psnr_avg:28.18 psnr_y:26.51 psnr_u:39.98 psnr_v:40.56 
n:15 mse_avg:97.59 mse_y:143.33 mse_u:6.52 mse_v:5.73 psnr_avg:28.24 psnr_y:26.57 psnr_u:39.99 psnr_v:40.55 
n:16 mse_avg:101.65 mse_y:149.19 mse_u:6.97 mse_v:6.19 psnr_avg:28.06 psnr_y:26.39 psnr_u:39.70 psnr_v:40.21 
n:17 mse_avg:102.89 mse_y:151.09 mse_u:6.85 mse_v:6.15 psnr_avg:28.01 psnr_y:26.34 psnr_u:39.78 psnr_v:40.24 
n:18 mse_avg:107.43 mse_y:157.67 mse_u:7.25 mse_v:6.63 psnr_avg:27.82 psnr_y:26.15 psnr_u:39.53 psnr_v:39.92 
n:19 mse_avg:103.33 mse_y:151.54 mse_u:7.21 mse_v:6.58 psnr_avg:27.99 psnr_y:26.33 psnr_u:39.55 psnr_v:39.95 
n:20 mse_avg:106.95 mse_y:156.80 mse_u:7.56 mse_v:6.98 psnr_avg:27.84 psnr_y:26.18 psnr_u:39.35 psnr_v:39.70 
n:21 mse_avg:110.42 mse_y:161.96 mse_u:7.64 mse_v:7.09 psnr_avg:27.70 psnr_y:26.04 psnr_u:39.30 psnr_v:39.63 
n:22 mse_avg:112.74 mse_y:165.24 mse_u:8.01 mse_v:7.51 psnr_avg:27.61 psnr_y:25.95 psnr_u:39.10 psnr_v:39.38 
n:23 mse_avg:111.84 mse_y:163.89 mse_u:7.97 mse_v:7.50 psnr_avg:27.64 psnr_y:25.99 psnr_u:39.12 psnr_v:39.38 
n:24 mse_avg:114.78 mse_y:168.10 mse_u:8.34 mse_v:7.91 psnr_avg:27.53 psnr_y:25.88 psnr_u:38.92 psnr_v:39.15 
n:25 mse_avg:117.50 mse_y:172.11 mse_u:8.49 mse_v:8.06 psnr_avg:27.43 psnr_y:25.77 psnr_u:38.84 psnr_v:39.07 
n:26 mse_avg:120.27 mse_y:176.09 mse_u:8.82 mse_v:8.44 psnr_avg:27.33 psnr_y:25.67 psnr_u:38.68 psnr_v:38.87 
n:27 mse_avg:122.38 mse_y:179.30 mse_u:8.71 mse_v:8.40 psnr_avg:27.25 psnr_y:25.60 psnr_u:38.73 psnr_v:38.89 
