n:1 mse_avg:0.17 mse_y:0.22 mse_u:0.09 mse_v:0.09 psnr_avg:55.72 psnr_y:54.80 psnr_u:58.45 psnr_v:58.57 
n:2 mse_avg:0.29 mse_y:0.38 mse_u:0.12 mse_v:0.11 psnr_avg:53.50 psnr_y:52.36 psnr_u:57.39 psnr_v:57.60 
n:3 mse_avg:0.32 mse_y:0.42 mse_u:0.13 mse_v:0.12 psnr_avg:53.05 psnr_y:51.89 psnr_u:57.10 psnr_v:57.28 
n:4 mse_avg:0.34 mse_y:0.45 mse_u:0.14 mse_v:0.13 psnr_avg:52.77 psnr_y:51.62 psnr_u:56.69 psnr_v:56.90 
n:5 mse_avg:0.35 mse_y:0.46 mse_u:0.14 mse_v:0.14 psnr_avg:52.63 psnr_y:51.49 psnr_u:56.55 psnr_v:56.72 
n:6 mse_avg:0.36 mse_y:0.47 mse_u:0.15 mse_v:0.15 psnr_avg:52.54 psnr_y:51.42 psnr_u:56.31 psnr_v:56.47 
n:7 mse_avg:0.37 mse_y:0.48 mse_u:0.15 mse_v:0.15 psnr_avg:52.46 psnr_y:51.33 psnr_u:56.34 psnr_v:56.45 
n:8 mse_avg:0.38 mse_y:0.48 mse_u:0.16 mse_v:0.16 psnr_avg:52.38 psnr_y:51.28 psnr_u:56.08 psnr_v:56.18 
n:9 mse_avg:0.38 mse_y:0.49 mse_u:0.16 mse_v:0.16 psnr_avg:52.33 psnr_y:51.23 psnr_u:56.07 psnr_v:56.16 
n:10 mse_avg:0.38 mse_y:0.49 mse_u:0.17 mse_v:0.16 psnr_avg:52.32 psnr_y:51.23 psnr_u:55.94 psnr_v:56.00 
n:11 mse_avg:0.39 mse_y:0.50 mse_u:0.16 mse_v:0.16 psnr_avg:52.25 psnr_y:51.14 psnr_u:55.98 psnr_v:56.01 
n:12 mse_avg:0.39 mse_y:0.50 mse_u:0.17 mse_v:0.17 psnr_avg:52.22 psnr_y:51.14 psnr_u:55.84 psnr_v:55.87 
n:13 mse_avg:0.40 mse_y:0.51 mse_u:0.17 mse_v:0.17 psnr_avg:52.15 psnr_y:51.06 psnr_u:55.86 psnr_v:55.89 
n:14 mse_avg:0.39 mse_y:0.50 mse_u:0.17 mse_v:0.17 psnr_avg:52.22 psnr_y:51.13 psnr_u:55.84 psnr_v:55.86 
n:15 mse_avg:0.40 mse_y:0.51 mse_u:0.16 mse_v:0.16 psnr_avg:52.16 psnr_y:51.04 psnr_u:55.97 psnr_v:56.01 
n:16 mse_avg:0.40 mse_y:0.50 mse_u:0.19 mse_v:0.18 psnr_avg:52.14 psnr_y:51.12 psnr_u:55.29 psnr_v:55.47 
n:17 mse_avg:0.40 mse_y:0.50 mse_u:0.19 mse_v:0.18 psnr_avg:52.14 psnr_y:51.12 psnr_u:55.34 psnr_v:55.48 
n:18 mse_avg:0.40 mse_y:0.50 mse_u:0.20 mse_v:0.19 psnr_avg:52.11 psnr_y:51.11 psnr_u:55.19 psnr_v:55.30 
n:19 mse_avg:0.41 mse_y:0.51 mse_u:0.20 mse_v:0.19 psnr_avg:52.02 psnr_y:51.02 psnr_u:55.19 psnr_v:55.26 
n:20 mse_avg:0.41 mse_y:0.52 mse_u:0.20 mse_v:0.20 psnr_avg:51.96 psnr_y:50.97 psnr_u:55.06 psnr_v:55.12 
n:21 mse_avg:0.42 mse_y:0.52 mse_u:0.20 mse_v:0.20 psnr_avg:51.94 psnr_y:50.94 psnr_u:55.10 psnr_v:55.13 
n:22 mse_avg:0.45 mse_y:0.55 mse_u:0.23 mse_v:0.23 psnr_avg:51.64 psnr_y:50.70 psnr_u:54.58 psnr_v:54.48 
n:23 mse_avg:0.46 mse_y:0.58 mse_u:0.22 mse_v:0.23 psnr_avg:51.48 psnr_y:50.49 psnr_u:54.61 psnr_v:54.54 
n:24 mse_avg:0.45 mse_y:0.56 mse_u:0.22 mse_v:0.23 psnr_avg:51.59 psnr_y:50.62 psnr_u:54.62 psnr_v:54.59 
n:25 mse_avg:0.45 mse_y:0.56 mse_u:0.22 mse_v:0.22 psnr_avg:51.61 psnr_y:50.63 psnr_u:54.74 psnr_v:54.70 
n:26 mse_avg:0.45 mse_y:0.56 mse_u:0.22 mse_v:0.22 psnr_avg:51.63 psnr_y:50.65 psnr_u:54.72 psnr_v:54.67 
n:27 mse_avg:0.45 mse_y:0.56 mse_u:0.21 mse_v:0.22 psnr_avg:51.63 psnr_y:50.62 psnr_u:54.83 psnr_v:54.77 
n:28 mse_avg:0.44 mse_y:0.55 mse_u:0.22 mse_v:0.22 psnr_avg:51.68 psnr_y:50.70 psnr_u:54.78 psnr_v:54.72 
n:29 mse_avg:0.44 mse_y:0.56 mse_u:0.21 mse_v:0.22 psnr_avg:51.68 psnr_y:50.69 psnr_u:54.84 psnr_v:54.78 
n:30 mse_avg:0.44 mse_y:0.56 mse_u:0.21 mse_v:0.22 psnr_avg:51.65 psnr_y:50.65 psnr_u:54.81 psnr_v:54.76 
n:31 mse_avg:0.44 mse_y:0.56 mse_u:0.21 mse_v:0.21 psnr_avg:51.68 psnr_y:50.67 psnr_u:54.92 psnr_v:54.89 
n:32 mse_avg:0.44 mse_y:0.55 mse_u:0.23 mse_v:0.23 psnr_avg:51.67 psnr_y:50.73 psnr_u:54.49 psnr_v:54.58 
n:33 mse_avg:0.44 mse_y:0.55 mse_u:0.23 mse_v:0.23 psnr_avg:51.67 psnr_y:50.73 psnr_u:54.53 psnr_v:54.59 
n:34 mse_avg:0.45 mse_y:0.55 mse_u:0.24 mse_v:0.23 psnr_avg:51.62 psnr_y:50.70 psnr_u:54.40 psnr_v:54.43 
n:35 mse_avg:0.45 mse_y:0.56 mse_u:0.23 mse_v:0.23 psnr_avg:51.61 psnr_y:50.67 psnr_u:54.47 psnr_v:54.49 
n:36 mse_avg:0.45 mse_y:0.55 mse_u:0.23 mse_v:0.24 psnr_avg:51.64 psnr_y:50.72 psnr_u:54.42 psnr_v:54.42 
n:37 mse_avg:0.45 mse_y:0.55 mse_u:0.23 mse_v:0.24 psnr_avg:51.64 psnr_y:50.71 psnr_u:54.47 psnr_v:54.41 
n:38 mse_avg:0.45 mse_y:0.56 mse_u:0.24 mse_v:0.24 psnr_avg:51.57 psnr_y:50.64 psnr_u:54.40 psnr_v:54.31 
n:39 mse_avg:0.46 mse_y:0.58 mse_u:0.23 mse_v:0.24 psnr_avg:51.48 psnr_y:50.53 psnr_u:54.43 psnr_v:54.34 
n:40 mse_avg:0.45 mse_y:0.56 mse_u:0.24 mse_v:0.24 psnr_avg:51.57 psnr_y:50.64 psnr_u:54.39 psnr_v:54.31 
n:41 mse_avg:0.45 mse_y:0.56 mse_u:0.23 mse_v:0.24 psnr_avg:51.60 psnr_y:50.67 psnr_u:54.48 psnr_v:54.40 
n:42 mse_avg:0.45 mse_y:0.56 mse_u:0.23 mse_v:0.24 psnr_avg:51.59 psnr_y:50.67 psnr_u:54.45 psnr_v:54.34 
n:43 mse_avg:0.45 mse_y:0.56 mse_u:0.23 mse_v:0.23 psnr_avg:51.60 psnr_y:50.65 psnr_u:54.54 psnr_v:54.43 
n:44 mse_avg:0.45 mse_y:0.55 mse_u:0.23 mse_v:0.24 psnr_avg:51.64 psnr_y:50.72 psnr_u:54.51 psnr_v:54.38 
n:45 mse_avg:0.45 mse_y:0.56 mse_u:0.23 mse_v:0.23 psnr_avg:51.62 psnr_y:50.68 psnr_u:54.54 psnr_v:54.43 
