n:1 mse_avg:22.33 mse_y:32.69 mse_u:1.70 mse_v:1.53 psnr_avg:34.64 psnr_y:32.99 psnr_u:45.83 psnr_v:46.29 
n:2 mse_avg:30.51 mse_y:44.95 mse_u:1.71 mse_v:1.54 psnr_avg:33.29 psnr_y:31.60 psnr_u:45.80 psnr_v:46.25 
n:3 mse_avg:31.69 mse_y:46.72 mse_u:1.72 mse_v:1.54 psnr_avg:33.12 psnr_y:31.44 psnr_u:45.79 psnr_v:46.24 
n:4 mse_avg:39.42 mse_y:58.29 mse_u:1.77 mse_v:1.58 psnr_avg:32.17 psnr_y:30.47 psnr_u:45.66 psnr_v:46.16 
n:5 mse_avg:38.20 mse_y:56.46 mse_u:1.76 mse_v:1.58 psnr_avg:32.31 psnr_y:30.61 psnr_u:45.68 psnr_v:46.14 
n:6 mse_avg:40.38 mse_y:59.73 mse_u:1.79 mse_v:1.59 psnr_avg:32.07 psnr_y:30.37 psnr_u:45.61 psnr_v:46.11 
n:7 mse_avg:53.35 mse_y:78.88 mse_u:2.43 mse_v:2.17 psnr_avg:30.86 psnr_y:29.16 psnr_u:44.28 psnr_v:44.77 
n:8 mse_avg:45.18 mse_y:66.67 mse_u:2.32 mse_v:2.06 psnr_avg:31.58 psnr_y:29.89 psnr_u:44.48 psnr_v:44.99 
n:9 mse_avg:40.70 mse_y:59.98 mse_u:2.27 mse_v:2.02 psnr_avg:32.03 psnr_y:30.35 psnr_u:44.58 psnr_v:45.07 
n:10 mse_avg:39.76 mse_y:58.56 mse_u:2.26 mse_v:2.03 psnr_avg:32.14 psnr_y:30.45 psnr_u:44.58 psnr_v:45.06 
n:11 mse_avg:41.90 mse_y:61.77 mse_u:2.26 mse_v:2.03 psnr_avg:31.91 psnr_y:30.22 psnr_u:44.58 psnr_v:45.07 
n:12 mse_avg:40.12 mse_y:59.11 mse_u:2.25 mse_v:2.01 psnr_avg:32.10 psnr_y:30.41 psnr_u:44.61 psnr_v:45.09 
