n:1 mse_avg:3.54 mse_y:4.78 mse_u:1.03 mse_v:1.09 psnr_avg:42.64 psnr_y:41.33 psnr_u:48.00 psnr_v:47.74 
n:2 mse_avg:5.20 mse_y:7.28 mse_u:1.01 mse_v:1.08 psnr_avg:40.97 psnr_y:39.51 psnr_u:48.07 psnr_v:47.79 
n:3 mse_avg:6.04 mse_y:8.53 mse_u:1.04 mse_v:1.11 psnr_avg:40.32 psnr_y:38.82 psnr_u:47.98 psnr_v:47.69 
n:4 mse_avg:6.53 mse_y:9.22 mse_u:1.13 mse_v:1.21 psnr_avg:39.98 psnr_y:38.48 psnr_u:47.61 psnr_v:47.30 
n:5 mse_avg:6.95 mse_y:9.82 mse_u:1.16 mse_v:1.24 psnr_avg:39.71 psnr_y:38.21 psnr_u:47.49 psnr_v:47.18 
n:6 mse_avg:6.50 mse_y:9.14 mse_u:1.15 mse_v:1.27 psnr_avg:40.00 psnr_y:38.52 psnr_u:47.52 psnr_v:47.11 
n:7 mse_avg:6.96 mse_y:9.83 mse_u:1.17 mse_v:1.29 psnr_avg:39.70 psnr_y:38.20 psnr_u:47.44 psnr_v:47.03 
n:8 mse_avg:6.72 mse_y:9.47 mse_u:1.17 mse_v:1.30 psnr_avg:39.85 psnr_y:38.37 psnr_u:47.44 psnr_v:46.99 
n:9 mse_avg:7.07 mse_y:9.98 mse_u:1.21 mse_v:1.32 psnr_avg:39.63 psnr_y:38.14 psnr_u:47.32 psnr_v:46.92 
n:10 mse_avg:6.62 mse_y:9.28 mse_u:1.25 mse_v:1.35 psnr_avg:39.92 psnr_y:38.46 psnr_u:47.18 psnr_v:46.83 
n:11 mse_avg:7.02 mse_y:9.86 mse_u:1.28 mse_v:1.40 psnr_avg:39.67 psnr_y:38.19 psnr_u:47.04 psnr_v:46.66 
n:12 mse_avg:7.01 mse_y:9.85 mse_u:1.27 mse_v:1.39 psnr_avg:39.68 psnr_y:38.20 psnr_u:47.09 psnr_v:46.70 
n:13 mse_avg:7.49 mse_y:10.57 mse_u:1.27 mse_v:1.40 psnr_avg:39.39 psnr_y:37.89 psnr_u:47.09 psnr_v:46.67 
n:14 mse_avg:6.77 mse_y:9.49 mse_u:1.25 mse_v:1.39 psnr_avg:39.83 psnr_y:38.36 psnr_u:47.16 psnr_v:46.69 
n:15 mse_avg:6.93 mse_y:9.72 mse_u:1.27 mse_v:1.41 psnr_avg:39.73 psnr_y:38.26 psnr_u:47.10 psnr_v:46.63 
n:16 mse_avg:6.82 mse_y:9.57 mse_u:1.27 mse_v:1.42 psnr_avg:39.79 psnr_y:38.32 psnr_u:47.09 psnr_v:46.62 
n:17 mse_avg:7.22 mse_y:10.15 mse_u:1.30 mse_v:1.46 psnr_avg:39.54 psnr_y:38.07 psnr_u:46.99 psnr_v:46.48 
n:18 mse_avg:6.91 mse_y:9.66 mse_u:1.31 mse_v:1.50 psnr_avg:39.74 psnr_y:38.28 psnr_u:46.97 psnr_v:46.38 
n:19 mse_avg:7.28 mse_y:10.20 mse_u:1.33 mse_v:1.54 psnr_avg:39.51 psnr_y:38.04 psnr_u:46.89 psnr_v:46.26 
n:20 mse_avg:7.11 mse_y:9.94 mse_u:1.34 mse_v:1.54 psnr_avg:39.61 psnr_y:38.15 psnr_u:46.86 psnr_v:46.24 
n:21 mse_avg:7.36 mse_y:10.29 mse_u:1.36 mse_v:1.60 psnr_avg:39.46 psnr_y:38.00 psnr_u:46.81 psnr_v:46.09 
n:22 mse_avg:6.87 mse_y:9.56 mse_u:1.37 mse_v:1.63 psnr_avg:39.76 psnr_y:38.33 psnr_u:46.77 psnr_v:46.02 
n:23 mse_avg:7.32 mse_y:10.21 mse_u:1.41 mse_v:1.69 psnr_avg:39.48 psnr_y:38.04 psnr_u:46.65 psnr_v:45.84 
n:24 mse_avg:7.50 mse_y:10.46 mse_u:1.43 mse_v:1.74 psnr_avg:39.38 psnr_y:37.93 psnr_u:46.56 psnr_v:45.73 
n:25 mse_avg:7.80 mse_y:10.89 mse_u:1.43 mse_v:1.80 psnr_avg:39.21 psnr_y:37.76 psnr_u:46.57 psnr_v:45.58 
n:26 mse_avg:7.40 mse_y:10.29 mse_u:1.42 mse_v:1.79 psnr_avg:39.44 psnr_y:38.01 psnr_u:46.60 psnr_v:45.61 
n:27 mse_avg:7.53 mse_y:10.44 mse_u:1.46 mse_v:1.95 psnr_avg:39.36 psnr_y:37.94 psnr_u:46.49 psnr_v:45.24 
n:28 mse_avg:7.20 mse_y:9.98 mse_u:1.43 mse_v:1.83 psnr_avg:39.56 psnr_y:38.14 psnr_u:46.57 psnr_v:45.49 
n:29 mse_avg:7.59 mse_y:10.57 mse_u:1.44 mse_v:1.85 psnr_avg:39.33 psnr_y:37.89 psnr_u:46.55 psnr_v:45.47 
n:30 mse_avg:7.39 mse_y:10.27 mse_u:1.43 mse_v:1.82 psnr_avg:39.45 psnr_y:38.02 psnr_u:46.59 psnr_v:45.53 
n:31 mse_avg:7.53 mse_y:10.46 mse_u:1.43 mse_v:1.90 psnr_avg:39.37 psnr_y:37.94 psnr_u:46.59 psnr_v:45.35 
n:32 mse_avg:7.14 mse_y:9.89 mse_u:1.43 mse_v:1.85 psnr_avg:39.59 psnr_y:38.18 psnr_u:46.58 psnr_v:45.45 
