n:1 mse_avg:0.04 mse_y:0.05 mse_u:0.03 mse_v:0.03 psnr_avg:61.67 psnr_y:61.06 psnr_u:63.52 psnr_v:63.00 
n:2 mse_avg:0.09 mse_y:0.11 mse_u:0.05 mse_v:0.05 psnr_avg:58.54 psnr_y:57.64 psnr_u:61.51 psnr_v:60.92 
n:3 mse_avg:0.10 mse_y:0.12 mse_u:0.05 mse_v:0.06 psnr_avg:58.15 psnr_y:57.29 psnr_u:60.98 psnr_v:60.42 
n:4 mse_avg:0.11 mse_y:0.13 mse_u:0.06 mse_v:0.06 psnr_avg:57.91 psnr_y:57.05 psnr_u:60.68 psnr_v:60.17 
n:5 mse_avg:0.10 mse_y:0.13 mse_u:0.06 mse_v:0.06 psnr_avg:57.96 psnr_y:57.13 psnr_u:60.59 psnr_v:60.09 
n:6 mse_avg:0.11 mse_y:0.13 mse_u:0.06 mse_v:0.07 psnr_avg:57.78 psnr_y:56.96 psnr_u:60.35 psnr_v:59.89 
n:7 mse_avg:0.11 mse_y:0.13 mse_u:0.06 mse_v:0.07 psnr_avg:57.67 psnr_y:56.88 psnr_u:60.09 psnr_v:59.66 
n:8 mse_avg:0.11 mse_y:0.14 mse_u:0.07 mse_v:0.07 psnr_avg:57.58 psnr_y:56.80 psnr_u:59.95 psnr_v:59.55 
n:9 mse_avg:0.11 mse_y:0.14 mse_u:0.07 mse_v:0.07 psnr_avg:57.55 psnr_y:56.79 psnr_u:59.85 psnr_v:59.45 
n:10 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.50 psnr_y:56.75 psnr_u:59.74 psnr_v:59.36 
n:11 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.47 psnr_y:56.75 psnr_u:59.63 psnr_v:59.20 
n:12 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.44 psnr_y:56.73 psnr_u:59.60 psnr_v:59.16 
n:13 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.47 psnr_y:56.75 psnr_u:59.66 psnr_v:59.20 
n:14 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.48 psnr_y:56.76 psnr_u:59.62 psnr_v:59.18 
n:15 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.46 psnr_y:56.74 psnr_u:59.60 psnr_v:59.18 
n:16 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.47 psnr_y:56.77 psnr_u:59.56 psnr_v:59.13 
n:17 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.48 psnr_y:56.76 psnr_u:59.64 psnr_v:59.20 
n:18 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.47 psnr_y:56.74 psnr_u:59.65 psnr_v:59.22 
n:19 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.48 psnr_y:56.73 psnr_u:59.72 psnr_v:59.30 
n:20 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.36 psnr_y:56.62 psnr_u:59.58 psnr_v:59.12 
n:21 mse_avg:0.12 mse_y:0.14 mse_u:0.07 mse_v:0.08 psnr_avg:57.47 psnr_y:56.72 psnr_u:59.74 psnr_v:59.29 
n:22 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.03 psnr_y:56.34 psnr_u:59.19 psnr_v:58.60 
n:23 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.04 psnr_y:56.36 psnr_u:59.16 psnr_v:58.58 
n:24 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.02 psnr_y:56.35 psnr_u:59.09 psnr_v:58.53 
n:25 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.03 psnr_y:56.36 psnr_u:59.11 psnr_v:58.51 
n:26 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.00 psnr_y:56.33 psnr_u:59.04 psnr_v:58.46 
n:27 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.97 psnr_y:56.31 psnr_u:58.99 psnr_v:58.42 
n:28 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.96 psnr_y:56.30 psnr_u:58.99 psnr_v:58.40 
n:29 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.97 psnr_y:56.30 psnr_u:59.04 psnr_v:58.43 
n:30 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.98 psnr_y:56.32 psnr_u:59.00 psnr_v:58.41 
n:31 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.97 psnr_y:56.31 psnr_u:58.97 psnr_v:58.39 
n:32 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.96 psnr_y:56.29 psnr_u:59.00 psnr_v:58.43 
n:33 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.04 psnr_y:56.36 psnr_u:59.14 psnr_v:58.52 
n:34 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.00 psnr_y:56.32 psnr_u:59.12 psnr_v:58.54 
n:35 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.00 psnr_y:56.29 psnr_u:59.17 psnr_v:58.60 
n:36 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.00 psnr_y:56.29 psnr_u:59.23 psnr_v:58.62 
n:37 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.11 psnr_y:56.40 psnr_u:59.36 psnr_v:58.74 
n:38 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.05 psnr_y:56.35 psnr_u:59.25 psnr_v:58.63 
n:39 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.04 psnr_y:56.36 psnr_u:59.19 psnr_v:58.58 
n:40 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.00 psnr_y:56.32 psnr_u:59.11 psnr_v:58.52 
n:41 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.03 psnr_y:56.35 psnr_u:59.14 psnr_v:58.53 
n:42 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.98 psnr_y:56.30 psnr_u:59.07 psnr_v:58.47 
n:43 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:57.00 psnr_y:56.33 psnr_u:59.06 psnr_v:58.46 
n:44 mse_avg:0.13 mse_y:0.15 mse_u:0.08 mse_v:0.09 psnr_avg:56.98 psnr_y:56.31 psnr_u:59.03 psnr_v:58.43 
