n:1 mse_avg:0.21 mse_y:0.23 mse_u:0.17 mse_v:0.16 psnr_avg:54.88 psnr_y:54.45 psnr_u:55.84 psnr_v:55.96 
n:2 mse_avg:0.64 mse_y:0.72 mse_u:0.50 mse_v:0.44 psnr_avg:50.10 psnr_y:49.57 psnr_u:51.12 psnr_v:51.72 
n:3 mse_avg:0.64 mse_y:0.73 mse_u:0.47 mse_v:0.41 psnr_avg:50.10 psnr_y:49.48 psnr_u:51.40 psnr_v:52.02 
n:4 mse_avg:0.63 mse_y:0.72 mse_u:0.49 mse_v:0.42 psnr_avg:50.14 psnr_y:49.57 psnr_u:51.26 psnr_v:51.88 
n:5 mse_avg:0.64 mse_y:0.74 mse_u:0.48 mse_v:0.42 psnr_avg:50.04 psnr_y:49.42 psnr_u:51.31 psnr_v:51.94 
n:6 mse_avg:0.63 mse_y:0.73 mse_u:0.47 mse_v:0.41 psnr_avg:50.11 psnr_y:49.50 psnr_u:51.38 psnr_v:52.00 
n:7 mse_avg:0.65 mse_y:0.75 mse_u:0.49 mse_v:0.42 psnr_avg:50.00 psnr_y:49.38 psnr_u:51.27 psnr_v:51.91 
n:8 mse_avg:0.65 mse_y:0.76 mse_u:0.48 mse_v:0.41 psnr_avg:49.99 psnr_y:49.35 psnr_u:51.34 psnr_v:51.96 
n:9 mse_avg:0.66 mse_y:0.76 mse_u:0.49 mse_v:0.42 psnr_avg:49.93 psnr_y:49.31 psnr_u:51.25 psnr_v:51.89 
n:10 mse_avg:0.66 mse_y:0.76 mse_u:0.48 mse_v:0.42 psnr_avg:49.95 psnr_y:49.32 psnr_u:51.28 psnr_v:51.91 
n:11 mse_avg:0.66 mse_y:0.76 mse_u:0.48 mse_v:0.41 psnr_avg:49.94 psnr_y:49.30 psnr_u:51.29 psnr_v:51.95 
n:12 mse_avg:0.65 mse_y:0.76 mse_u:0.49 mse_v:0.42 psnr_avg:49.97 psnr_y:49.35 psnr_u:51.27 psnr_v:51.91 
n:13 mse_avg:0.66 mse_y:0.76 mse_u:0.49 mse_v:0.42 psnr_avg:49.95 psnr_y:49.32 psnr_u:51.26 psnr_v:51.90 
n:14 mse_avg:0.71 mse_y:0.80 mse_u:0.55 mse_v:0.49 psnr_avg:49.64 psnr_y:49.09 psnr_u:50.75 psnr_v:51.25 
n:15 mse_avg:0.73 mse_y:0.82 mse_u:0.57 mse_v:0.51 psnr_avg:49.53 psnr_y:49.01 psnr_u:50.58 psnr_v:51.02 
n:16 mse_avg:0.72 mse_y:0.81 mse_u:0.57 mse_v:0.52 psnr_avg:49.53 psnr_y:49.02 psnr_u:50.57 psnr_v:51.01 
n:17 mse_avg:0.71 mse_y:0.80 mse_u:0.56 mse_v:0.50 psnr_avg:49.63 psnr_y:49.12 psnr_u:50.64 psnr_v:51.11 
n:18 mse_avg:0.70 mse_y:0.79 mse_u:0.56 mse_v:0.51 psnr_avg:49.66 psnr_y:49.17 psnr_u:50.61 psnr_v:51.06 
n:19 mse_avg:0.72 mse_y:0.80 mse_u:0.58 mse_v:0.52 psnr_avg:49.56 psnr_y:49.08 psnr_u:50.53 psnr_v:50.96 
n:20 mse_avg:0.72 mse_y:0.80 mse_u:0.58 mse_v:0.52 psnr_avg:49.58 psnr_y:49.10 psnr_u:50.53 psnr_v:50.96 
n:21 mse_avg:0.72 mse_y:0.81 mse_u:0.57 mse_v:0.52 psnr_avg:49.55 psnr_y:49.06 psnr_u:50.54 psnr_v:50.99 
n:22 mse_avg:0.73 mse_y:0.81 mse_u:0.59 mse_v:0.53 psnr_avg:49.51 psnr_y:49.03 psnr_u:50.45 psnr_v:50.85 
n:23 mse_avg:0.73 mse_y:0.82 mse_u:0.57 mse_v:0.52 psnr_avg:49.51 psnr_y:49.00 psnr_u:50.56 psnr_v:50.97 
n:24 mse_avg:0.73 mse_y:0.82 mse_u:0.57 mse_v:0.52 psnr_avg:49.53 psnr_y:49.01 psnr_u:50.59 psnr_v:51.00 
n:25 mse_avg:0.72 mse_y:0.81 mse_u:0.58 mse_v:0.52 psnr_avg:49.55 psnr_y:49.06 psnr_u:50.52 psnr_v:50.95 
n:26 mse_avg:0.75 mse_y:0.84 mse_u:0.60 mse_v:0.55 psnr_avg:49.37 psnr_y:48.89 psnr_u:50.32 psnr_v:50.70 
n:27 mse_avg:0.74 mse_y:0.82 mse_u:0.59 mse_v:0.54 psnr_avg:49.46 psnr_y:48.99 psnr_u:50.41 psnr_v:50.77 
n:28 mse_avg:0.73 mse_y:0.81 mse_u:0.60 mse_v:0.55 psnr_avg:49.50 psnr_y:49.06 psnr_u:50.35 psnr_v:50.71 
n:29 mse_avg:0.74 mse_y:0.82 mse_u:0.59 mse_v:0.55 psnr_avg:49.46 psnr_y:49.00 psnr_u:50.40 psnr_v:50.75 
n:30 mse_avg:0.74 mse_y:0.82 mse_u:0.59 mse_v:0.55 psnr_avg:49.47 psnr_y:49.01 psnr_u:50.39 psnr_v:50.76 
n:31 mse_avg:0.75 mse_y:0.83 mse_u:0.61 mse_v:0.57 psnr_avg:49.38 psnr_y:48.95 psnr_u:50.24 psnr_v:50.59 
n:32 mse_avg:0.74 mse_y:0.82 mse_u:0.61 mse_v:0.57 psnr_avg:49.43 psnr_y:49.00 psnr_u:50.27 psnr_v:50.60 
n:33 mse_avg:0.76 mse_y:0.84 mse_u:0.62 mse_v:0.58 psnr_avg:49.33 psnr_y:48.90 psnr_u:50.18 psnr_v:50.52 
n:34 mse_avg:0.75 mse_y:0.83 mse_u:0.61 mse_v:0.57 psnr_avg:49.37 psnr_y:48.92 psnr_u:50.27 psnr_v:50.61 
n:35 mse_avg:0.75 mse_y:0.83 mse_u:0.61 mse_v:0.57 psnr_avg:49.39 psnr_y:48.95 psnr_u:50.25 psnr_v:50.59 
n:36 mse_avg:0.75 mse_y:0.82 mse_u:0.62 mse_v:0.57 psnr_avg:49.40 psnr_y:48.98 psnr_u:50.23 psnr_v:50.55 
n:37 mse_avg:0.76 mse_y:0.85 mse_u:0.62 mse_v:0.58 psnr_avg:49.30 psnr_y:48.85 psnr_u:50.21 psnr_v:50.50 
n:38 mse_avg:0.77 mse_y:0.85 mse_u:0.61 mse_v:0.57 psnr_avg:49.29 psnr_y:48.82 psnr_u:50.27 psnr_v:50.56 
n:39 mse_avg:0.77 mse_y:0.86 mse_u:0.63 mse_v:0.59 psnr_avg:49.25 psnr_y:48.80 psnr_u:50.16 psnr_v:50.44 
n:40 mse_avg:0.76 mse_y:0.85 mse_u:0.62 mse_v:0.58 psnr_avg:49.30 psnr_y:48.85 psnr_u:50.22 psnr_v:50.51 
n:41 mse_avg:0.76 mse_y:0.84 mse_u:0.63 mse_v:0.58 psnr_avg:49.30 psnr_y:48.87 psnr_u:50.17 psnr_v:50.49 
n:42 mse_avg:0.75 mse_y:0.83 mse_u:0.62 mse_v:0.58 psnr_avg:49.35 psnr_y:48.93 psnr_u:50.19 psnr_v:50.49 
n:43 mse_avg:0.76 mse_y:0.84 mse_u:0.63 mse_v:0.59 psnr_avg:49.31 psnr_y:48.90 psnr_u:50.14 psnr_v:50.43 
n:44 mse_avg:0.76 mse_y:0.84 mse_u:0.63 mse_v:0.59 psnr_avg:49.31 psnr_y:48.91 psnr_u:50.12 psnr_v:50.41 
n:45 mse_avg:0.78 mse_y:0.86 mse_u:0.63 mse_v:0.59 psnr_avg:49.23 psnr_y:48.80 psnr_u:50.11 psnr_v:50.40 
n:46 mse_avg:0.77 mse_y:0.85 mse_u:0.63 mse_v:0.59 psnr_avg:49.26 psnr_y:48.82 psnr_u:50.17 psnr_v:50.45 
n:47 mse_avg:0.78 mse_y:0.86 mse_u:0.65 mse_v:0.61 psnr_avg:49.19 psnr_y:48.78 psnr_u:50.02 psnr_v:50.29 
n:48 mse_avg:0.77 mse_y:0.85 mse_u:0.64 mse_v:0.60 psnr_avg:49.26 psnr_y:48.85 psnr_u:50.07 psnr_v:50.32 
n:49 mse_avg:0.79 mse_y:0.87 mse_u:0.64 mse_v:0.60 psnr_avg:49.17 psnr_y:48.74 psnr_u:50.08 psnr_v:50.33 
